Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,15.930000,16.639999,13.460000,13.520000,13.520000,0
2022-01-04,13.900000,15.260000,13.470000,13.880000,13.880000,0
2022-01-05,14.270000,18.730000,13.370000,18.070000,18.070000,0
2022-01-06,19.160000,20.580000,16.170000,17.059999,17.059999,0
2022-01-07,17.520000,19.299999,15.300000,15.400000,15.400000,0
2022-01-10,19.930000,23.690001,17.610001,17.910000,17.910000,0
2022-01-11,18.850000,20.570000,16.320000,16.590000,16.590000,0
2022-01-12,15.580000,16.790001,14.590000,14.680000,14.680000,0
2022-01-13,15.320000,19.510000,14.950000,18.790001,18.790001,0
2022-01-14,20.650000,20.910000,16.850000,17.309999,17.309999,0
2022-01-18,23.020000,24.840000,22.870001,24.170000,24.170000,0
2022-01-19,23.600000,24.719999,22.360001,23.959999,23.959999,0
2022-01-20,23.100000,26.730000,20.850000,26.730000,26.730000,0
2022-01-21,28.340000,32.860001,27.070000,30.860001,30.860001,0
2022-01-24,39.459999,49.700001,35.189999,35.820000,35.820000,0
2022-01-25,40.209999,44.660000,35.000000,37.180000,37.180000,0
2022-01-26,33.939999,39.730000,31.980000,37.400002,37.400002,0
2022-01-27,32.720001,37.680000,32.389999,33.029999,33.029999,0
2022-01-28,32.369999,34.730000,27.350000,28.129999,28.129999,0
2022-01-31,30.309999,30.809999,24.889999,25.330000,25.330000,0
2022-02-01,24.490000,26.000000,21.100000,21.100000,21.100000,0
2022-02-02,21.330000,22.740000,19.190001,21.600000,21.600000,0
2022-02-03,24.250000,26.590000,21.459999,24.110001,24.110001,0
2022-02-04,25.530001,26.320000,20.549999,21.860001,21.860001,0
2022-02-07,23.520000,23.830000,20.719999,21.610001,21.610001,0
2022-02-08,21.760000,22.719999,19.920000,20.070000,20.070000,0
2022-02-09,19.110001,19.540001,18.520000,18.670000,18.670000,0
2022-02-10,21.129999,24.920000,19.020000,23.709999,23.709999,0
2022-02-11,23.610001,34.660000,22.610001,26.840000,26.840000,0
2022-02-14,30.280001,33.980000,27.620001,27.620001,27.620001,0
2022-02-15,26.150000,26.290001,23.940001,24.490000,24.490000,0
2022-02-16,25.090000,26.389999,20.830000,21.320000,21.320000,0
2022-02-17,24.629999,28.490000,24.590000,27.690001,27.690001,0
2022-02-18,27.250000,29.389999,25.440001,26.030001,26.030001,0
2022-02-22,30.400000,32.830002,28.540001,28.620001,28.620001,0
2022-02-23,27.860001,30.950001,27.490000,30.709999,30.709999,0
2022-02-24,39.910000,39.910000,28.690001,30.040001,30.040001,0
2022-02-25,29.070000,29.730000,25.299999,26.150000,26.150000,0
2022-02-28,34.080002,35.150002,29.010000,31.500000,31.500000,0
2022-03-01,32.439999,37.980000,32.400002,34.799999,34.799999,0
2022-03-02,34.279999,34.860001,29.680000,30.790001,30.790001,0
2022-03-03,29.040001,32.849998,29.040001,30.020000,30.020000,0
2022-03-04,34.410000,36.279999,30.030001,31.110001,31.110001,0
2022-03-07,34.330002,38.630001,34.279999,38.570000,38.570000,0
2022-03-08,37.320000,39.599998,33.820000,36.660000,36.660000,0
2022-03-09,34.049999,35.259998,32.000000,33.439999,33.439999,0
2022-03-10,33.770000,33.840000,29.940001,30.010000,30.010000,0
2022-03-11,29.270000,31.000000,28.420000,30.629999,30.629999,0
2022-03-14,33.130001,36.080002,31.879999,34.230000,34.230000,0
2022-03-15,33.970001,34.520000,30.590000,30.709999,30.709999,0
2022-03-16,29.430000,30.840000,25.920000,26.510000,26.510000,0
2022-03-17,26.850000,26.940001,24.430000,24.940001,24.940001,0
2022-03-18,25.990000,26.070000,22.040001,22.190001,22.190001,0
2022-03-21,24.400000,25.459999,22.680000,22.730000,22.730000,0
2022-03-22,22.250000,23.230000,22.139999,22.570000,22.570000,0
2022-03-23,23.940001,24.110001,22.180000,23.209999,23.209999,0
2022-03-24,23.330000,23.940001,20.330000,20.420000,20.420000,0
2022-03-25,20.940001,22.320000,18.450001,18.450001,18.450001,0
2022-03-28,21.270000,21.650000,17.660000,17.820000,17.820000,0
2022-03-29,17.230000,18.860001,17.200001,17.540001,17.540001,0
2022-03-30,17.940001,19.200001,17.260000,17.430000,17.430000,0
2022-03-31,18.320000,19.719999,17.510000,18.400000,18.400000,0
2022-04-01,17.889999,18.020000,15.580000,16.000000,16.000000,0
2022-04-04,18.010000,18.110001,15.360000,15.760000,15.760000,0
2022-04-05,16.760000,19.590000,16.280001,18.620001,18.620001,0
2022-04-06,20.730000,23.650000,19.280001,19.639999,19.639999,0
2022-04-07,20.200001,22.410000,18.610001,19.049999,19.049999,0
2022-04-08,19.320000,19.860001,17.139999,17.299999,17.299999,0
2022-04-11,20.709999,22.850000,20.580000,22.850000,22.850000,0
2022-04-12,21.410000,23.969999,19.889999,22.490000,22.490000,0
2022-04-13,22.600000,22.629999,18.530001,19.150000,19.150000,0
2022-04-14,18.670000,19.389999,18.040001,19.340000,19.340000,0
2022-04-18,23.100000,23.190001,19.740000,20.879999,20.879999,0
2022-04-19,21.719999,21.879999,19.370001,20.700001,20.700001,0
2022-04-20,19.520000,20.719999,18.520000,19.299999,19.299999,0
2022-04-21,18.959999,23.280001,18.580000,22.209999,22.209999,0
2022-04-22,23.250000,29.830000,22.740000,29.070000,29.070000,0
2022-04-25,32.919998,36.470001,28.700001,28.950001,28.950001,0
2022-04-26,30.629999,38.160000,30.049999,37.740002,37.740002,0
2022-04-27,35.430000,37.180000,33.189999,34.820000,34.820000,0
2022-04-28,32.599998,36.240002,30.040001,32.250000,32.250000,0
